Issue Type,Issue key,Issue id,Summary,Status,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Прочее,ADM-67279,1235090,DBFZ Подписать Политику ИБ,Closed,_Тверитинов,ОАЭ,,,,,,artem.antipov,26.02.2026 18:18,Исправлено/Выполнено,,18.02.2026 11:56,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67266,1234874,DBFZ Договор об участии c MinIO в LEAP 2026,ADM Доработка,ОАЭ,обработано,,,,,,liana.akhmetshina,,,,17.02.2026 18:27,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67232,1234351,New Tax registration certificate для DBFZ,ADM Согл с КА,ОАЭ,,,,,,,maksim.simetskiy,,,,16.02.2026 19:37,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67216,1234074,YKVUAE: Joint activity agreement ,ADM Отложено,ОАЭ,обработано,,,,,,sofiya.adzhiniyazova,,,,16.02.2026 15:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67200,1233840,Creatio: комплаенс- проверка КА ,Closed,Казахстан,приоритет1,,,,,,anastasiya.soloveva,25.02.2026 13:21,Исправлено/Выполнено,,16.02.2026 11:17,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-67104,1232001,UNB: Проверка контрагента ЦА для ОАЭ,Closed,ОАЭ,комплаенсЦА,,,,,,irina.merkulova,26.02.2026 13:53,Исправлено/Выполнено,,10.02.2026 19:08,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67103,1232000,UNB: Соглашение о намерении для тендера ADM-67042,ADM КА п экз GB,_Тверитинов,ADM_Центр-Азия,ОАЭ,,,,,irina.merkulova,,,,10.02.2026 19:06,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67086,1231786,DBFZ: Terms and Conditions of Use for eSupply portal,ADM Согл с КА,Tigers,ОАЭ,обработано,,,,,eva.uglova,,,,10.02.2026 14:11,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67073,1231670,"DATAGATE: Согласование ""Положения для договора поставки""",ADM Согл с КА,ОАЭ,обработано,,,,,,dmitry.butakov,,,,10.02.2026 11:43,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-67003,1230308,DBFZ. Продление заказ с T1A DE на 2026,Closed,_Тверитинов,ОАЭ,,,,,,Dinara.Alieva,04.03.2026 13:56,Исправлено/Выполнено,,06.02.2026 10:33,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66985,1229946,Creatio: реселлерский договор (DBFZ),Closed,_Тверитинов,нетподписанта,обработано,приоритет1,,,,anastasiya.soloveva,04.05.2026 10:42,Исправлено/Выполнено,,05.02.2026 13:38,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66974,1229749,EVR Лицензионный договор на поставку (Alphyn.ASM +  Alphyn.RDM),ADM Доработка,Alphyn,ОАЭ,обработано,,,,,Nataliya.Popova,,,,05.02.2026 08:56,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66961,1229347,DBSA. Расторжение договора с аутсорсингом (ACC) - Eighty20,ADM Доработка,ОАЭ,,,,,,,n.chubukinasolovey,,,,04.02.2026 12:58,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66960,1229337,AKHCEMENT: Проверка контрагента для потенциального проекта из ОАЭ,ADM Доработка,ОАЭ,,,,,,,Alexandr.Tomilov,,,,04.02.2026 12:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66954,1229226,NDA Databorn & SAMANVITHA,Closed,_Тверитинов,ОАЭ,обработано,,,,,anna.bogatkina,26.02.2026 18:09,Исправлено/Выполнено,,04.02.2026 10:57,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66907,1227676,UCMG: Проверка на русский след,Closed,ОАЭ,комплаенсЦА,,,,,,irina.merkulova,10.02.2026 15:02,Исправлено/Выполнено,,02.02.2026 13:36,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66903,1227390,HCL: Опросник Lite Questionnaire,ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,02.02.2026 10:45,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66829,1226085,VISA: WS. Data Platform,ADM Согл с КА,_Алиева,ОАЭ,обработано,,,,,ekaterina.krepp,,,,29.01.2026 17:45,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66828,1226058,VISA: WS. CVM diagnostics (H2H + MSP),Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,ekaterina.krepp,17.04.2026 09:33,Исправлено/Выполнено,,29.01.2026 17:00,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66824,1226015,DBFZ Аренда конф.комнаты для мероприятия в Дохе 09.02,Closed,ОАЭ,обработано,,,,,,anastasiya.vavulina,02.02.2026 10:48,Исправлено/Выполнено,,29.01.2026 16:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66820,1225879,KRNK Заказ №10,ADM Согл с КА,ОАЭ,обработано,,,,,,olga.artamonova,,,,29.01.2026 14:10,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66793,1225505,VISAUAE2600034. Согласовать WS на GenAI Strategy,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.lysenko,10.04.2026 19:25,Исправлено/Выполнено,,28.01.2026 18:41,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66776,1225156,SQB: Письмо о переносе срока платежа по акту №1,Closed,_Алиева,ОАЭ,,,,,,mariya.kozyreva,03.02.2026 14:17,Исправлено/Выполнено,,28.01.2026 12:36,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66747,1224760,"QCL: Согласие comply with Qatar data protection regulations , Qatar Compliance Policies and Salesforce security standards",ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,27.01.2026 17:48,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66744,1224720,DBSA: шаблон двустороннего NDA,ADM Согл с КА,ОАЭ,,,,,,,tatyana.bykovskaya,,,,27.01.2026 17:03,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66721,1224370,MENA. Заключение по нон-компит сотрудников,ADM Согл с КА,ОАЭ,,,,,,,Dinara.Alieva,,,,27.01.2026 11:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66710,1223908,TenX - NDA DBSA,Closed,_Коломейцев,ОАЭ,нетподписанта,обработано,переподписание,,,olga.lazovskaya,10.03.2026 14:17,Исправлено/Выполнено,,26.01.2026 16:31,,,noreply,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66707,1223788,DBFZ. Доп. соглашение на аудит 2025,Closed,_Алиева,ОАЭ,обработано,,,,,n.chubukinasolovey,03.02.2026 14:20,Исправлено/Выполнено,,26.01.2026 14:41,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66697,1223415,DBSA Договор на компаунд Vives Эр-Рияд (Villa C19) 2026-2027,Closed,_Коломейцев,CIF_подано,ОАЭ,обработано,,,,yuliya.islamova,12.02.2026 11:10,Исправлено/Выполнено,,25.01.2026 12:16,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66692,1223355,Mbank. Миграция DWH. Заказ 1 (Установка GP),Closed,_Тверитинов,обработано,,,,,,eva.ziyangirova,22.04.2026 16:18,Исправлено/Выполнено,,23.01.2026 19:30,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66690,1223346,Mbank. Миграция DWH. Заказ 5 (Методология КД),Closed,_Тверитинов,обработано,,,,,,eva.ziyangirova,22.04.2026 10:03,Исправлено/Выполнено,,23.01.2026 18:54,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66689,1223342,Mbank. Миграция DWH. Заказ 2 (Шина данных),Closed,_Тверитинов,обработано,,,,,,eva.ziyangirova,22.04.2026 16:13,Исправлено/Выполнено,,23.01.2026 18:48,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66688,1223312,Mbank. Миграция DWH. Заказ 4 (Работы STAR),Closed,_Тверитинов,ОАЭ,обработано,,,,,eva.ziyangirova,22.04.2026 10:05,Исправлено/Выполнено,,23.01.2026 17:57,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66687,1223309,DBFZ изменение тарифа по корпоративным сим-картам ,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.vavulina,27.01.2026 17:08,Исправлено/Выполнено,,23.01.2026 17:56,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66686,1223305,Mbank. Миграция DWH. Заказ 3 (Работы STAR),Closed,_Тверитинов,ОАЭ,обработано,,,,,eva.ziyangirova,21.04.2026 18:13,Исправлено/Выполнено,,23.01.2026 17:50,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66664,1223068,CBUZ: Гарантия информации о предотвращении коррупции,Closed,_Тверитинов,ОАЭ,,,,,,irina.merkulova,26.01.2026 11:11,Исправлено/Выполнено,,23.01.2026 13:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66663,1223067,CBUZ: Гарантийное письмо-декларация,Closed,_Тверитинов,ОАЭ,,,,,,irina.merkulova,26.01.2026 11:11,Исправлено/Выполнено,,23.01.2026 13:43,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66654,1222901,CBUZ: NDA (DBFZ),ADM КА п экз GB,_Тверитинов,ОАЭ,обработано,,,,,irina.cherepanova,,,,23.01.2026 11:22,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66643,1222729,Уведомление об изменении юр. адреса Databorn Company LLC (КСА),Closed,_Коломейцев,ОАЭ,нетподписанта,,,,,nikolay.demenshin,09.02.2026 11:14,Исправлено/Выполнено,,22.01.2026 19:51,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66636,1222577,DBSA. Bonus Policy,Closed,ОАЭ,,,,,,,zhanna.pavlova,16.02.2026 12:27,Исправлено/Выполнено,,22.01.2026 17:45,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66615,1222066,DBFZ : Расчет налогов при продаже ПО от нового ЮЛ Alphyn,ADM Согл ЮР,Alphyn,NoSLA,,,,,,tatyana.bykovskaya,,,,22.01.2026 11:41,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66614,1222058,DBFZ: Регистрация ПО в Сауди,ADM Согл с КА,Alphyn,,,,,,,tatyana.bykovskaya,,,,22.01.2026 11:38,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66613,1222051,DBFZ: Сформировать перечень рисков создания нового ПО Alphyn (альтернативный вариант продаже уже созданного с DBFZ),ADM Согл с КА,Alphyn,NoSLA,,,,,,tatyana.bykovskaya,,,,22.01.2026 11:33,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66612,1222017,"DBFZ: Проверить, какие критерии предъявляются к компании, чтобы она считалась софтверной компанией в ОАЭ и могла получать льготу (% софтверной выручки от общей и т.п.)",ADM Согл с КА,Alphyn,NoSLA,,,,,,tatyana.bykovskaya,,,,22.01.2026 10:50,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66608,1221993,DBSA: National Address Proof,ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,22.01.2026 10:23,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66599,1221689,KRNK - Информационнное письмо об оплате после получения сертификата,ADM Доработка,ОАЭ,,,,,,,olga.artamonova,,,,21.01.2026 16:43,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66594,1221614,CBUZ: Договор на на внедрение системы ADR (в рамках тендера),ADM Доработка,ADM_Центр-Азия,обработано,проверить_подписантаКА,,,,,Olga.Goncharova,,,,21.01.2026 15:28,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66581,1221467,CBQ DB FZ Переподписание анкеты поставщика услуг ,Closed,_Тверитинов,ОАЭ,нетподписанта,,,,,artem.muravev,09.02.2026 11:04,Исправлено/Выполнено,,21.01.2026 12:54,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66567,1221208,EY: Рамочное соглашение EY для Qatar Energy,Closed,ОАЭ,обработано,,,,,,artem.muravev,02.04.2026 10:51,Исправлено/Выполнено,,20.01.2026 19:13,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66560,1221035,NDS: Согласование NDA ,ADM КА п экз GB,_Тверитинов,ОАЭ,обработано,,,,,anastasiya.pisareva,,,,20.01.2026 17:00,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66559,1221007,DBFZ. Запрос в банк о расследовании мошенничества BUH-114137,Closed,_Алиева,ОАЭ,нетподписанта,,,,,n.chubukinasolovey,30.01.2026 12:09,Исправлено/Выполнено,,20.01.2026 16:37,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66547,1220770,CBUZ: Меморандум для тендера ADM-66139 (DBFZ),ADM КА п экз GB,_Тверитинов,ADM_Центр-Азия,обработано,,,,,irina.cherepanova,,,,20.01.2026 13:55,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66539,1220569,YKVUAE: Work Order № 11,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,05.02.2026 11:23,Исправлено/Выполнено,,20.01.2026 12:07,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Прочее,ADM-66517,1220168,VKTECH Проверка контрагента CA для ОАЭ,ADM Отложено,ADM_Центр-Азия,ОАЭ,,,,,,nina.li,,,,19.01.2026 17:15,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66510,1220083,Zinit - партнерский договор DBFZ,ADM Согл с КА,ОАЭ,обработано,приоритет0,,,,,olga.lazovskaya,,,,19.01.2026 16:21,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66509,1220067,ADVX Проверка контрагента CA для ОАЭ,Closed,ОАЭ,комплаенсЦА,,,,,,nina.li,22.01.2026 13:30,Исправлено/Выполнено,,19.01.2026 16:04,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66505,1219923,Al Nahla: Договор о совместной деятельности для тендера в Омане ,ADM Доработка,ОАЭ,,,,,,,anton.zayats,,,,19.01.2026 15:05,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66503,1219847,KRNK. Привлечение субподряда из РФ (или со следом из РФ),ADM Согл с КА,ОАЭ,,,,,,,Andrey.Baranov,,,,19.01.2026 13:54,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66486,1219392,DBSA: Продление MISA license,Closed,ОАЭ,,,,,,,tatyana.bykovskaya,22.01.2026 10:41,Исправлено/Выполнено,,16.01.2026 18:40,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66482,1219211,"VISA - Change Order for T&M Project, Data Science (Feb'26-May'26)",Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,11.02.2026 09:55,Исправлено/Выполнено,,16.01.2026 16:47,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66473,1219038,KRNK Заказ №9 к договору ADM-56724 (T&M Q1),ADM Согл с КА,ОАЭ,обработано,,,,,,olga.artamonova,,,,16.01.2026 15:10,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66438,1217958,Открытие ЮЛ Alphyn MENA,Closed,Alphyn,,,,,,,tatyana.bykovskaya,22.01.2026 10:37,Дубликат,tatyana.bykovskaya,15.01.2026 13:22,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66437,1217952,Проверить сохраняются ли лицензионные договоры с ЦА при смене правообладателя ПО,ADM Согл с КА,Alphyn,,,,,,,tatyana.bykovskaya,,,,15.01.2026 13:20,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66436,1217947,Открытие ЮЛ Alphyn MENA,ADM Согл ЮР,Alphyn,NoSLA,,,,,,tatyana.bykovskaya,,,,15.01.2026 13:16,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66419,1217443,NDA MinIO DBFZ,ADM КА п экз GB,_Алиева,ОАЭ,обработано,,,,,olga.lazovskaya,,,,14.01.2026 17:07,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66360,1216926,"DBFZ: Аннулирование документов, подписанных всеми сторонами в DocuSign",Closed,ОАЭ,,,,,,,zhanna.pavlova,22.01.2026 18:44,Исправлено/Выполнено,,14.01.2026 10:09,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66321,1216640,VISA – WS T&M 2026.,Closed,_Алиева,ОАЭ,обработано,,,,,a.gusev,14.04.2026 15:05,Исправлено/Выполнено,,13.01.2026 16:27,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66297,1216411,MBANK: Рамочный договор миграция DWH,Closed,_Тверитинов,ADM_Центр-Азия,ОАЭ,обработано,,,,eva.ziyangirova,22.04.2026 10:09,Исправлено/Выполнено,,13.01.2026 13:07,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66279,1215772,UZPSB: Договор субподряда DBFZ- Blackstone Technology,Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,mariya.kozyreva,16.04.2026 18:29,Исправлено/Выполнено,,12.01.2026 18:26,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66272,1215635,DBFZ ООО Afisha Media ДС№2  к Договору на размещение пресс-релиза на сайте spot.uz,Closed,_Алиева,ОАЭ,обработано,,,,,regina.alimova,03.02.2026 16:18,Исправлено/Выполнено,,12.01.2026 17:17,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66264,1215444,YKVUAE250008: Addendum #3 to Work order 010,Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,sofiya.adzhiniyazova,13.03.2026 15:51,Исправлено/Выполнено,,12.01.2026 15:04,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-66254,1215322,BTS: DTSDigital-KZ (Самрук Казына) - партнёрка с ДБФЗ на Альфины,ADM Согл с КА,ОАЭ,обработано,,,,,,valeriy.pankratov,,,,12.01.2026 13:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66241,1214805,DBSA Договор на аренду виртуального офиса в Рияде 2026-2027,Closed,ОАЭ,обработано,,,,,,yuliya.islamova,20.01.2026 09:50,Исправлено/Выполнено,,09.01.2026 11:35,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66239,1214768,DBSA Classification certificate in proposed works,ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,08.01.2026 15:37,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66238,1214750,DBSA Договор об участии c Qlik в LEAP 2026,Closed,_Коломейцев,ОАЭ,обработано,,,,,liana.akhmetshina,26.01.2026 15:28,Исправлено/Выполнено,,08.01.2026 12:29,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66237,1214728,YKVUAE: Addendum for discounts ,Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,sofiya.adzhiniyazova,18.05.2026 12:22,Исправлено/Выполнено,,07.01.2026 14:55,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66235,1214722,"VISA – WS AI Assistant, Part 2. Fixed price ",Closed,_Алиева,ОАЭ,обработано,,,,,lyudmila.lokteva,20.03.2026 12:06,Исправлено/Выполнено,,07.01.2026 10:08,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66234,1214715,BCG2500006: Architect T&M (expert in Informatica),Closed,_Коломейцев,ОАЭ,,,,,,sofiya.adzhiniyazova,14.01.2026 11:30,Исправлено/Выполнено,,06.01.2026 17:06,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66230,1214431,DBFZ Ресерч рисков переквалификации ГПХ в ТД в Испании,Closed,ОАЭ,,,,,,,zhanna.pavlova,05.06.2026 10:21,Исправлено/Выполнено,,30.12.2025 22:22,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66227,1214346,DBSA. Договор на аутсорсинг RSM,Closed,_Коломейцев,CIF_подано,ОАЭ,нетподписанта,обработано,,,n.chubukinasolovey,19.02.2026 11:00,Исправлено/Выполнено,,30.12.2025 17:38,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-66216,1213844,DBSA. Research - компенсация проживания сотрудника в КСА через компенсацию по договору найма,ADM Согл с КА,ОАЭ,,,,,,,zhanna.pavlova,,,,29.12.2025 23:57,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66213,1213743,DBFZ ДС об увеличении срока оплаты ODBT по приложению 2 ADM-59359,Closed,_Алиева,ОАЭ,,,,,,oksana.belyakova,06.02.2026 10:16,Исправлено/Выполнено,,29.12.2025 17:51,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66211,1213726,"DBFZ: риски по ПУ и НДС ЧЛ Visa (подготовка шаблонного ответа, корректировка ЧЛ)",ADM Согл ЮР,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,29.12.2025 17:24,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66210,1213720,DBFZ: проверить тезис об обоснованности включения ограничителя ответственности в договор ,ADM Согл ЮР,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,29.12.2025 17:16,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66209,1213719,"DBFZ: Проверить тезис из ЧЛ, что нельзя заключать смешанные договоры с КА из региона или если применимое право региона (КСА, ОАЭ, Судан и тд)",ADM Согл ЮР,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,29.12.2025 17:11,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66208,1213717,SMH: Phase-2 Согласование PO,Closed,CIF_подано,ДТ,ОАЭ,,,,,anastasiya.pisareva,07.04.2026 09:25,Исправлено/Выполнено,,29.12.2025 17:11,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-66205,1213637,ARMX: Соглашение о расторжении WO 2 с Armaxon,ADM Согл с КА,МА,ОАЭ,,,,,,anastasiya.pisareva,,,,29.12.2025 15:22,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66161,1212551,DBFZ. Оплата за декабрь T1A DE,ADM КА П ПЕРВ,ОАЭ,обработано,,,,,,Dinara.Alieva,,,,26.12.2025 09:03,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66122,1211675,KRNK Заказ №8,ADM Согл с КА,ОАЭ,обработано,,,,,,olga.artamonova,,,,24.12.2025 14:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66075,1210882,DBFZ ООО Afisha Media ДС к Договору на размещение пресс-релиза на сайте spot.uz,Closed,_Алиева,ОАЭ,обработано,,,,,regina.alimova,03.02.2026 16:17,Исправлено/Выполнено,,23.12.2025 15:18,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66049,1210435,DBFZ. KYC для аудиторов Finexpertiza,Closed,_Тверитинов,ОАЭ,,,,,,n.chubukinasolovey,13.02.2026 12:10,Исправлено/Выполнено,,22.12.2025 17:33,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66048,1210432,MENA. Light комплаенс поставщиков ОАЭ,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,a.kevrolikina,,,,22.12.2025 17:29,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-66047,1210424,Перевод строк в 5-статус CBQ ,Closed,ОАЭ,,,,,,,anastasiya.bardina,05.02.2026 13:56,Исправлено/Выполнено,,22.12.2025 17:19,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-66014,1210180,DBFZ. Договор на аудит 2025 Finexpertiza,Closed,_Алиева,ОАЭ,обработано,,,,,n.chubukinasolovey,22.01.2026 10:52,Исправлено/Выполнено,,22.12.2025 13:08,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-65866,1208184,DBFZ. Human Resources Manual (редакция 3),Closed,_Тверитинов,ОАЭ,,,,,,alisa.serobyan,02.04.2026 10:08,Исправлено/Выполнено,,17.12.2025 14:51,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-65821,1207789,EMD SHA,ADM Согл ЮР,NoSLA,МН_Бизнес,,,,,,tatyana.bykovskaya,,,,16.12.2025 17:27,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-65709,1206466,Khazna: Letter of Conveyance,ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,12.12.2025 17:33,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-65662,1205928,Khazna: Договор на внедрение SF,ADM Доработка,ОАЭ,обработано,,,,,,aleksandr.koryukin,,,,11.12.2025 17:56,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-65552,1204724,DBFZ: Addendum 3 to Framework SPA Kearney,ADM Согл с КА,ОАЭ,обработано,,,,,,osolomatina,,,,09.12.2025 17:19,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-65474,1203754,Starburst - Partner Agreement DBFZ 2025,ADM Согл с КА,ОАЭ,обработано,приоритет1,,,,,olga.lazovskaya,,,,08.12.2025 13:21,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-65212,1200398,DBFZ. Заказ на работы с LUSINOVA MOMAH Process Excellence Activities,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,09.04.2026 19:28,Исправлено/Выполнено,,01.12.2025 14:25,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
